Doculect,l_0,c_tnsmood,c_aspect,c_Aper,c_Anum,c_Uper,c_Unum,c_plur,wordform,f_p1,f_p2,f_p3,f_stem,f_s1,f_s2,f_s3
Ngkolmpu,TOUCH,futirr,pfv,1,sg,2,sg,npl,ntpino,,nt,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,1,sg,2,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,1,sg,3,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,1,nsg,2,sg,npl,ntpinoy,,nt,,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,1,nsg,2,nsg,npl,srpinoy,,s,r,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,1,nsg,3,nsg,npl,srpinoy,,s,r,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,2,sg,1,sg,npl,bpino,,b,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,2,sg,1,nsg,npl,ntpino,,nt,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,2,sg,3,nsg,npl,spino,,s,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,2,nsg,1,sg,npl,bpinoy,,b,,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,2,nsg,1,nsg,npl,ntpinoy,,nt,,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,2,nsg,3,nsg,npl,spinoy,,s,,pino,,,y
Ngkolmpu,TOUCH,futirr,pfv,3,sg,1,sg,npl,brpino,,b,r,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,3,sg,1,nsg,npl,ntpino,,nt,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,3,sg,2,sg,npl,ntpino,,nt,,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,3,sg,2,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,3,sg,3,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,futirr,pfv,3,nsg,1,sg,npl,brpinome,,b,r,pino,,,me
Ngkolmpu,TOUCH,futirr,pfv,3,nsg,1,nsg,npl,ntpinome,,nt,,pino,,,me
Ngkolmpu,TOUCH,futirr,pfv,3,nsg,2,sg,npl,ntpinome,,nt,,pino,,,me
Ngkolmpu,TOUCH,futirr,pfv,3,nsg,2,nsg,npl,srpinome,,s,r,pino,,,me
Ngkolmpu,TOUCH,futirr,pfv,3,nsg,3,nsg,npl,srpinome,,s,r,pino,,,me
Ngkolmpu,TOUCH,futign,pfv,1,sg,2,sg,npl,ntpinoomo,,nt,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,1,sg,2,nsg,npl,srpinoomo,,s,r,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,1,sg,3,nsg,npl,srpinoomo,,s,r,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,1,nsg,2,sg,npl,ntpinoomoy,,nt,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,1,nsg,2,nsg,npl,srpinoomoy,,s,r,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,1,nsg,3,nsg,npl,srpinoomoy,,s,r,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,2,sg,1,sg,npl,bpinoomo,,b,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,2,sg,1,nsg,npl,ntpinoomo,,nt,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,2,sg,3,nsg,npl,spinoomo,,s,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,2,nsg,1,sg,npl,bpinoomoy,,b,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,2,nsg,1,nsg,npl,ntpinoomoy,,nt,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,2,nsg,3,nsg,npl,spinoomoy,,s,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,3,sg,1,sg,npl,brpinoomo,,b,r,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,3,sg,1,nsg,npl,ntpinoomo,,nt,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,3,sg,2,sg,npl,ntpinoomo,,nt,,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,3,sg,2,nsg,npl,srpinoomo,,s,r,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,3,sg,3,nsg,npl,srpinoomo,,s,r,pino,,omo,
Ngkolmpu,TOUCH,futign,pfv,3,nsg,1,sg,npl,brpinoomoy,,b,r,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,3,nsg,1,nsg,npl,ntpinoomoy,,nt,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,3,nsg,2,sg,npl,ntpinoomoy,,nt,,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,3,nsg,2,nsg,npl,srpinoomoy,,s,r,pino,,omo,y
Ngkolmpu,TOUCH,futign,pfv,3,nsg,3,nsg,npl,srpinoomoy,,s,r,pino,,omo,y
Ngkolmpu,TOUCH,imp,pfv,1,sg,2,sg,npl,knpino,,kn,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,1,sg,2,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,imp,pfv,1,sg,3,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,imp,pfv,1,nsg,2,sg,npl,knpinoy,,kn,,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,1,nsg,2,nsg,npl,srpinoy,,s,r,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,1,nsg,3,nsg,npl,srpinoy,,s,r,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,2,sg,1,sg,npl,bpino,,b,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,2,sg,1,nsg,npl,knpino,,kn,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,2,sg,3,nsg,npl,spino,,s,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,2,nsg,1,sg,npl,bpinoy,,b,,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,2,nsg,1,nsg,npl,knpinoy,,kn,,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,2,nsg,3,nsg,npl,spinoy,,s,,pino,,,y
Ngkolmpu,TOUCH,imp,pfv,3,sg,1,sg,npl,brpino,,b,r,pino,,,
Ngkolmpu,TOUCH,imp,pfv,3,sg,1,nsg,npl,knpino,,kn,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,3,sg,2,sg,npl,knpino,,kn,,pino,,,
Ngkolmpu,TOUCH,imp,pfv,3,sg,2,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,imp,pfv,3,sg,3,nsg,npl,srpino,,s,r,pino,,,
Ngkolmpu,TOUCH,imp,pfv,3,nsg,1,sg,npl,brpinome,,b,r,pino,,,me
Ngkolmpu,TOUCH,imp,pfv,3,nsg,1,nsg,npl,knpinome,,kn,,pino,,,me
Ngkolmpu,TOUCH,imp,pfv,3,nsg,2,sg,npl,knpinome,,kn,,pino,,,me
Ngkolmpu,TOUCH,imp,pfv,3,nsg,2,nsg,npl,srpinome,,s,r,pino,,,me
Ngkolmpu,TOUCH,imp,pfv,3,nsg,3,nsg,npl,srpinome,,s,r,pino,,,me
Ngkolmpu,TOUCH,pres,dur,1,sg,2,sg,npl,wpino,,w,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,sg,2,sg,pl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,sg,2,nsg,npl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,sg,2,nsg,pl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,sg,3,nsg,npl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,sg,3,nsg,pl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,1,nsg,2,sg,npl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,1,nsg,2,sg,pl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,1,nsg,2,nsg,npl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,1,nsg,2,nsg,pl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,1,nsg,3,nsg,npl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,1,nsg,3,nsg,pl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,sg,1,sg,npl,wpino,,w,,pino,,,
Ngkolmpu,TOUCH,pres,dur,2,sg,1,sg,pl,wpino,,w,,pino,,,
Ngkolmpu,TOUCH,pres,dur,2,sg,1,nsg,npl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,2,sg,1,nsg,pl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,2,sg,3,nsg,npl,ypino,,y,,pino,,,
